Clarep1_1	Cladochytrium_replicatum_JEL714_v1.0
Polagg1_1	Polychytrium_aggregatum_JEL109_v1.0	
Rozal1_1	Rozella_allomycis_CSF55_v1.0
Gervar1	Geranomyces_variabilis_JEL559_v1.0
Fimjon1	Fimicolochytrium_jonesii_JEL569_v1.0
Chyhya1	Chytriomyces_hyalinus_JEL632_v1.0
Gorhay1	Gorgonomyces_haynaldii_MP57_v1.0
Triarc1	Triparticalcar_arcticum_BR59_v1.0
Hyacur1	Hyaloraphidium_curvatum_SAG235-1_v1.0
Powhir1	Powellomyces_hirtus_BR81_v1.0
Clapol1_1	Cladochytrium_polystomum_WB228_v1.0
Caecom1	Caecomyces_churrovis_A_v1.0
Blyhe1	Blyttiomyces_helicus_single-cell_v1.0
Caupr1	Caulochytrium_protostelioides_ATCC_52028_v1.0
Caupr_SCcomb	Caulochytrium_protostelioides_ATCC_52028_single-cell_v1.0
Obemuc1	Obelidium_mucronatum_JEL802_v1.0
Hompol1	Homolaphlyctis_polyrhiza_JEL142_v1.0
Chylag1	Chytridium_lagenaria_Arg66_v1.0
Enthel1	Entophlyctis_helioformis_JEL805_v1.0
Gaesem1	Gaertneriomyces_semiglobifer_Barr_43_v1.0
Chytri1	Chytriomyces_sp._MP_71_v1.0
Glopol1	Globomyces_pollinis-pini_Arg68_v1.0
Neosp1	Neocallimastix_californiae_G1_v1.0
Anasp1	Anaeromyces_robustus_v1.0
Pirfi3	Piromyces_finnis_v3.0
Spipu1	Spizellomyces_punctatus_DAOM_BR117
Rhihy1	Rhizoclosmatium_globosum_JEL800_v1.0
Orpsp1_1	Pecoramyces_ruminatium_C1A
Batde5	Batrachochytrium_dendrobatidis_JAM81_v1.0
Ganpr1	Gonapodya_prolifera_v1.0
PirE2_1	Piromyces_sp._E2_v1.0
Parsed1	Paraphysoderma_sedebokerense_JEL821_v1.0
Blabri1	Blastocladiella_britannica_v1.0
Catan2	Catenaria_anguillulae_PL171_v2.0
Allma1	Allomyces_macrogynus_ATCC_38327
