ID	LENGTH	GC	COVERAGE	ORF_COUNT	ORF_PER_KB	ORF_MEAN	ORF_MEDIAN	ORF_PLUS_STRAND_RATIO	INTERGENIC_MEAN	INTERGENIC_MEDIAN	FRACTION_OVERLAPPING_ORFS	NCLDV_HITS	NCLDV_PERCENT	NCVOG_HITS	NCVOG_PERCENT	CAPSID	RIBOSOMAL	MT	PFAM_HITS	PFAM_PERCENT
scaffold_1	190329	44.45	1	257	1.35	0.534	0.375	1.197	247.47	152.00	0.12	0	0.0000	9	3.5019	0	0	0	72	28.0156
scaffold_2	186382	44.68	1	255	1.37	0.441	0.339	0.992	331.81	203.00	0.10	0	0.0000	7	2.7451	0	0	0	83	32.5490
scaffold_3	174882	45.08	1	261	1.49	0.453	0.333	0.919	253.67	157.00	0.10	0	0.0000	5	1.9157	0	0	0	72	27.5862
scaffold_4	161144	45.67	1	237	1.47	0.468	0.333	1.061	245.44	146.00	0.08	0	0.0000	1	0.4219	0	0	0	47	19.8312
scaffold_5	160536	45.39	1	221	1.38	0.462	0.369	1.125	295.44	173.00	0.08	0	0.0000	7	3.1674	0	0	0	50	22.6244
scaffold_6	153336	45.13	1	216	1.41	0.518	0.393	0.521	237.46	129.00	0.15	0	0.0000	6	2.7778	0	0	0	65	30.0926
scaffold_7	151423	45.70	1	187	1.23	0.585	0.441	0.685	246.99	145.00	0.06	0	0.0000	4	2.1390	0	0	0	48	25.6684
scaffold_8	147064	45.11	1	209	1.42	0.493	0.390	1.090	239.07	149.00	0.08	0	0.0000	8	3.8278	0	0	0	52	24.8804
scaffold_9	145598	44.81	1	226	1.55	0.423	0.315	1.354	254.30	143.50	0.08	0	0.0000	8	3.5398	0	0	0	40	17.6991
scaffold_10	145224	45.16	1	197	1.36	0.514	0.357	0.539	262.78	171.00	0.11	0	0.0000	5	2.5381	0	0	0	54	27.4112
scaffold_11	135595	44.60	1	177	1.31	0.550	0.435	0.624	243.63	127.50	0.08	0	0.0000	6	3.3898	0	0	0	63	35.5932
scaffold_12	127976	45.10	1	175	1.37	0.494	0.345	0.636	270.78	146.50	0.09	0	0.0000	8	4.5714	0	0	0	42	24.0000
scaffold_13	124007	44.89	1	177	1.43	0.489	0.366	0.844	252.65	150.00	0.12	0	0.0000	10	5.6497	0	0	0	42	23.7288
scaffold_14	119995	44.42	1	162	1.35	0.552	0.367	0.906	219.59	134.00	0.09	0	0.0000	5	3.0864	0	0	0	56	34.5679
scaffold_15	118212	43.93	1	154	1.30	0.575	0.393	0.387	204.21	139.00	0.05	0	0.0000	3	1.9481	0	0	0	54	35.0649
scaffold_16	114527	45.68	1	174	1.52	0.458	0.351	0.933	253.96	139.00	0.16	0	0.0000	1	0.5747	0	0	0	57	32.7586
scaffold_17	112232	45.34	1	171	1.52	0.477	0.342	0.921	209.77	142.00	0.12	0	0.0000	3	1.7544	0	0	0	29	16.9591
scaffold_18	109715	45.41	1	160	1.46	0.466	0.309	1.025	257.33	148.00	0.10	0	0.0000	4	2.5000	0	0	0	34	21.2500
scaffold_19	102547	45.02	1	159	1.55	0.424	0.321	1.208	264.82	164.00	0.13	0	0.0000	7	4.4025	0	0	0	42	26.4151
scaffold_20	102124	23.76	1	26	0.25	0.661	0.482	1.167	3268.58	1249.00	0.00	0	0.0000	0	0.0000	0	0	0	22	84.6154
scaffold_21	101987	45.00	1	143	1.40	0.453	0.336	0.857	304.79	173.00	0.10	0	0.0000	6	4.1958	0	0	0	38	26.5734
scaffold_22	100328	44.14	1	152	1.52	0.434	0.323	0.567	266.51	164.00	0.12	0	0.0000	3	1.9737	0	0	0	38	25.0000
scaffold_23	99454	45.29	1	159	1.60	0.453	0.324	0.559	210.86	142.00	0.13	0	0.0000	9	5.6604	0	0	0	31	19.4969
scaffold_24	98586	44.86	1	127	1.29	0.547	0.387	1.352	266.93	136.50	0.12	0	0.0000	3	2.3622	0	0	0	39	30.7087
scaffold_25	96032	44.52	1	107	1.11	0.654	0.393	1.675	261.81	142.00	0.08	0	0.0000	6	5.6075	0	0	0	34	31.7757
scaffold_26	95859	46.59	1	149	1.55	0.441	0.306	0.987	225.99	138.00	0.07	0	0.0000	9	6.0403	0	0	0	43	28.8591
scaffold_27	94378	44.87	1	131	1.39	0.411	0.291	0.679	338.63	181.00	0.06	0	0.0000	4	3.0534	0	0	0	31	23.6641
scaffold_28	94240	44.48	1	128	1.36	0.458	0.285	0.855	328.78	161.00	0.12	0	0.0000	1	0.7812	0	0	0	26	20.3125
scaffold_29	93913	45.31	1	122	1.30	0.564	0.409	1.596	242.79	159.50	0.11	0	0.0000	2	1.6393	0	0	0	34	27.8689
scaffold_30	93193	45.52	1	122	1.31	0.534	0.358	0.937	249.61	150.50	0.03	0	0.0000	5	4.0984	0	0	0	35	28.6885
scaffold_31	93035	45.61	1	141	1.52	0.504	0.342	0.762	196.72	112.50	0.16	0	0.0000	4	2.8369	0	0	0	43	30.4965
scaffold_32	91958	44.81	1	127	1.38	0.519	0.360	0.896	231.03	141.00	0.12	0	0.0000	6	4.7244	0	0	0	40	31.4961
scaffold_33	91743	43.37	1	131	1.43	0.461	0.315	0.845	276.20	147.00	0.10	0	0.0000	2	1.5267	0	0	0	21	16.0305
scaffold_34	91408	44.25	1	126	1.38	0.488	0.330	0.909	283.75	154.00	0.10	0	0.0000	4	3.1746	0	0	0	21	16.6667
scaffold_35	91301	45.27	1	133	1.46	0.446	0.342	0.773	270.38	130.00	0.09	0	0.0000	3	2.2556	0	0	0	37	27.8195
scaffold_36	91073	44.36	1	132	1.45	0.444	0.329	0.833	268.33	156.50	0.08	0	0.0000	2	1.5152	0	0	0	41	31.0606
scaffold_37	90114	45.64	1	121	1.34	0.496	0.402	1.051	283.62	195.00	0.08	0	0.0000	2	1.6529	0	0	0	23	19.0083
scaffold_38	89857	45.76	1	136	1.51	0.493	0.318	0.813	210.54	108.00	0.12	2	1.4706	14	10.2941	0	0	0	40	29.4118
scaffold_39	89495	44.81	1	130	1.45	0.475	0.318	1.500	259.24	160.00	0.10	0	0.0000	4	3.0769	0	0	0	30	23.0769
scaffold_40	88355	45.63	1	117	1.32	0.520	0.369	0.560	273.23	171.00	0.08	0	0.0000	3	2.5641	0	0	0	26	22.2222
scaffold_41	87965	46.25	1	130	1.48	0.455	0.315	0.781	247.35	171.00	0.08	0	0.0000	2	1.5385	0	0	0	38	29.2308
scaffold_42	87775	45.81	1	121	1.38	0.532	0.381	1.200	233.12	129.50	0.11	0	0.0000	3	2.4793	0	0	0	47	38.8430
scaffold_43	87623	45.17	1	136	1.55	0.389	0.306	0.581	316.42	174.00	0.15	0	0.0000	4	2.9412	0	0	0	17	12.5000
scaffold_44	87267	44.77	1	129	1.48	0.460	0.312	1.081	264.75	113.00	0.14	0	0.0000	3	2.3256	0	0	0	43	33.3333
scaffold_45	86642	44.84	1	115	1.33	0.490	0.363	0.885	305.08	179.00	0.10	0	0.0000	3	2.6087	0	0	0	21	18.2609
scaffold_46	85159	45.81	1	137	1.61	0.446	0.327	0.756	212.14	152.00	0.14	0	0.0000	4	2.9197	0	0	0	30	21.8978
scaffold_47	84058	45.61	1	120	1.43	0.496	0.383	1.143	263.18	152.00	0.16	0	0.0000	5	4.1667	0	0	0	34	28.3333
scaffold_48	84032	43.40	1	94	1.12	0.587	0.387	0.774	323.19	210.50	0.03	0	0.0000	2	2.1277	0	0	0	19	20.2128
scaffold_49	83967	44.64	1	119	1.42	0.505	0.294	1.833	249.09	192.00	0.15	0	0.0000	3	2.5210	0	0	0	19	15.9664
scaffold_50	83563	45.94	1	135	1.62	0.388	0.294	1.143	261.02	141.50	0.06	0	0.0000	1	0.7407	0	0	0	25	18.5185
scaffold_51	83211	45.56	1	96	1.15	0.549	0.432	0.745	344.42	244.50	0.05	0	0.0000	2	2.0833	0	0	0	20	20.8333
scaffold_52	83022	45.30	1	119	1.43	0.484	0.345	1.204	253.94	177.00	0.13	0	0.0000	4	3.3613	0	0	0	20	16.8067
scaffold_53	82981	45.32	1	113	1.36	0.526	0.423	1.055	249.22	159.00	0.10	0	0.0000	1	0.8850	0	0	0	23	20.3540
scaffold_54	82656	45.20	1	102	1.23	0.538	0.414	0.729	306.27	176.00	0.06	0	0.0000	4	3.9216	0	0	0	26	25.4902
scaffold_55	82552	45.19	1	105	1.27	0.528	0.348	0.842	280.35	173.50	0.05	0	0.0000	0	0.0000	0	0	0	24	22.8571
scaffold_56	82531	45.25	1	112	1.36	0.453	0.327	1.545	318.15	169.50	0.11	0	0.0000	0	0.0000	0	0	0	16	14.2857
scaffold_57	81344	44.76	1	122	1.50	0.462	0.389	1.000	247.88	183.00	0.12	0	0.0000	5	4.0984	0	0	0	44	36.0656
scaffold_58	81082	45.38	1	104	1.28	0.594	0.456	0.705	209.81	116.50	0.09	0	0.0000	5	4.8077	0	0	0	26	25.0000
scaffold_59	80772	44.79	1	113	1.40	0.535	0.408	1.132	206.96	159.00	0.09	0	0.0000	4	3.5398	0	0	0	30	26.5487
scaffold_60	80167	44.88	1	121	1.51	0.411	0.312	0.635	291.14	143.00	0.11	0	0.0000	15	12.3967	0	0	0	38	31.4050
scaffold_61	79876	43.45	1	100	1.25	0.469	0.306	0.639	405.96	230.00	0.16	0	0.0000	4	4.0000	0	0	0	31	31.0000
scaffold_62	79714	45.82	1	96	1.20	0.627	0.455	1.043	243.30	179.00	0.11	0	0.0000	2	2.0833	0	0	0	41	42.7083
scaffold_63	79489	44.39	1	102	1.28	0.520	0.350	0.821	303.12	210.00	0.10	0	0.0000	4	3.9216	0	0	0	30	29.4118
scaffold_64	78480	45.18	1	121	1.54	0.418	0.342	0.891	274.38	186.00	0.14	0	0.0000	7	5.7851	0	0	0	35	28.9256
scaffold_65	77623	43.90	1	98	1.26	0.563	0.314	0.885	270.71	177.00	0.10	0	0.0000	1	1.0204	0	0	0	26	26.5306
scaffold_66	77582	45.97	1	118	1.52	0.475	0.327	1.070	204.31	128.00	0.07	0	0.0000	1	0.8475	0	0	0	25	21.1864
scaffold_67	77307	44.84	1	105	1.36	0.484	0.363	0.615	283.48	140.50	0.09	0	0.0000	8	7.6190	0	0	0	20	19.0476
scaffold_68	76662	45.28	1	98	1.28	0.523	0.383	0.849	301.97	147.00	0.09	0	0.0000	5	5.1020	0	0	0	24	24.4898
scaffold_69	76657	45.20	1	129	1.68	0.369	0.264	1.304	265.44	129.00	0.12	0	0.0000	1	0.7752	0	0	0	17	13.1783
scaffold_70	75821	44.98	1	112	1.48	0.428	0.291	1.947	278.84	202.50	0.07	0	0.0000	1	0.8929	0	0	0	26	23.2143
scaffold_71	75264	43.16	1	92	1.22	0.506	0.392	1.629	358.01	197.00	0.12	0	0.0000	1	1.0870	0	0	0	22	23.9130
scaffold_72	75141	45.11	1	109	1.45	0.481	0.357	1.319	249.35	171.00	0.11	0	0.0000	2	1.8349	0	0	0	33	30.2752
scaffold_73	74852	44.86	1	103	1.38	0.520	0.357	0.873	242.18	160.00	0.09	0	0.0000	6	5.8252	0	0	0	21	20.3883
scaffold_74	74597	43.80	1	85	1.14	0.600	0.438	1.024	306.83	162.50	0.08	0	0.0000	1	1.1765	0	0	0	14	16.4706
scaffold_75	74294	45.76	1	108	1.45	0.439	0.304	0.964	289.78	178.00	0.10	0	0.0000	2	1.8519	0	0	0	24	22.2222
scaffold_76	73632	44.37	1	100	1.36	0.489	0.351	1.941	275.30	176.00	0.08	6	6.0000	10	10.0000	0	0	0	30	30.0000
scaffold_77	73084	46.68	1	110	1.51	0.463	0.275	0.667	229.11	153.00	0.09	0	0.0000	6	5.4545	0	0	0	19	17.2727
scaffold_78	72885	44.31	1	107	1.47	0.456	0.309	1.184	257.44	129.00	0.08	0	0.0000	2	1.8692	0	0	0	30	28.0374
scaffold_79	72712	44.94	1	102	1.40	0.376	0.291	0.789	391.28	230.00	0.11	0	0.0000	1	0.9804	0	0	0	17	16.6667
scaffold_80	72582	45.25	1	98	1.35	0.485	0.357	0.719	299.60	194.50	0.09	0	0.0000	4	4.0816	0	0	0	31	31.6327
scaffold_81	72477	43.99	1	102	1.41	0.494	0.327	1.684	269.52	168.00	0.11	0	0.0000	2	1.9608	0	0	0	34	33.3333
scaffold_82	72268	44.44	1	111	1.54	0.416	0.294	0.586	259.26	128.00	0.06	0	0.0000	1	0.9009	0	0	0	24	21.6216
scaffold_83	72232	45.41	1	99	1.37	0.508	0.366	0.707	261.63	183.50	0.10	0	0.0000	11	11.1111	0	0	0	29	29.2929
