dnapol-consensus	NODE_150_length_49131_cov_4.017491	26.50	717	374	153	241	809	12134	14244	1.2e-13	84.5
dnapol-consensus	NODE_361_length_21041_cov_4.028762	32.52	898	374	232	65	731	10025	7364	1.5e-11	76.4
rnapol1-consensus	NODE_386_length_19113_cov_4.448361	37.95	1054	426	228	96	923	9935	13079	3.7e-65	254.7
rnapol1-consensus	NODE_386_length_19113_cov_4.448361	47.71	153	76	4	1003	1151	13573	14028	3.8e-43	181.6
rnapol1-consensus	NODE_386_length_19113_cov_4.448361	33.87	124	51	31	21	116	9437	9792	2.9e-13	82.3
rnapol1-consensus	NODE_38_length_119290_cov_4.990127	39.09	1008	389	225	139	923	10639	13647	1.1e-62	249.1
rnapol1-consensus	NODE_38_length_119290_cov_4.990127	47.06	153	77	4	1003	1151	14141	14596	2.8e-40	174.8
rnapol1-consensus	NODE_382_length_19564_cov_4.614410	29.55	1056	466	278	226	1008	11032	7899	1.6e-52	212.8
rnapol1-consensus	NODE_57_length_91317_cov_4.340015	30.51	967	398	274	226	921	21945	19063	8.1e-51	209.4
rnapol1-consensus	NODE_129_length_53616_cov_8.750145	33.62	919	379	231	231	918	33151	35890	4.6e-31	143.0
primase-consensus	NODE_779_length_4370_cov_4.193571	25.50	702	477	46	72	743	4105	2067	9.9e-64	247.2
rnapol2-consensus	NODE_192_length_40742_cov_4.350080	41.16	1035	387	222	199	1011	36905	33820	5.4e-52	211.9
rnapol2-consensus	NODE_1_length_285369_cov_4.442389	35.24	1047	479	199	166	1022	160372	163468	4e-28	134.4
rnapol2-consensus	NODE_79_length_74067_cov_4.430153	28.97	1063	517	238	198	1022	43953	40782	1.6e-17	98.3
rnapol2-consensus	NODE_87_length_69725_cov_4.811538	32.33	801	382	160	379	1020	13541	15923	6.7e-17	96.1
