ID	LENGTH	GC	COVERAGE	ORF_COUNT	ORF_PER_KB	ORF_MEAN	ORF_MEDIAN	ORF_PLUS_STRAND_RATIO	INTERGENIC_MEAN	INTERGENIC_MEDIAN	FRACTION_OVERLAPPING_ORFS	NCLDV_HITS	NCLDV_PERCENT	NCVOG_HITS	NCVOG_PERCENT	CAPSID	RIBOSOMAL	MT	PFAM_HITS	PFAM_PERCENT
scaffold_1	400918	38.57	1	475	1.18	0.558	0.435	1.013	319.92	189.00	0.09	0	0.0000	25	5.2632	0	0	0	219	46.1053
scaffold_2	351873	38.68	1	423	1.20	0.560	0.432	0.940	303.51	161.00	0.09	6	1.4184	28	6.6194	0	0	0	222	52.4823
scaffold_3	331673	38.42	1	383	1.15	0.578	0.420	1.059	320.91	219.50	0.09	0	0.0000	17	4.4386	0	0	0	189	49.3473
scaffold_4	320488	38.68	1	364	1.14	0.587	0.459	0.820	319.96	199.00	0.07	2	0.5495	31	8.5165	0	0	0	173	47.5275
scaffold_5	283381	38.52	1	325	1.15	0.594	0.453	1.110	306.55	188.00	0.07	0	0.0000	20	6.1538	0	0	0	157	48.3077
scaffold_6	254698	38.89	1	270	1.06	0.620	0.421	1.160	363.42	211.00	0.10	0	0.0000	17	6.2963	0	0	0	117	43.3333
scaffold_7	250270	38.94	1	297	1.19	0.589	0.480	1.376	281.50	168.50	0.08	0	0.0000	17	5.7239	0	0	0	129	43.4343
scaffold_8	237929	38.61	1	249	1.05	0.637	0.468	0.638	348.64	189.50	0.06	0	0.0000	12	4.8193	0	0	0	113	45.3815
scaffold_9	237411	38.55	1	273	1.15	0.612	0.468	0.845	297.43	221.50	0.11	0	0.0000	19	6.9597	0	0	0	140	51.2821
scaffold_10	233577	38.50	1	245	1.05	0.589	0.420	1.149	390.75	250.00	0.08	0	0.0000	13	5.3061	0	0	0	94	38.3673
scaffold_11	229245	38.63	1	273	1.19	0.560	0.477	0.936	307.08	174.00	0.07	0	0.0000	22	8.0586	0	0	0	128	46.8864
scaffold_12	225486	38.86	1	280	1.24	0.563	0.432	1.121	283.82	140.50	0.12	0	0.0000	16	5.7143	0	0	0	136	48.5714
scaffold_13	208578	39.16	1	248	1.19	0.572	0.399	1.195	295.09	199.00	0.06	0	0.0000	24	9.6774	0	0	0	134	54.0323
scaffold_14	207664	38.67	1	231	1.11	0.598	0.453	1.310	324.09	147.00	0.06	0	0.0000	10	4.3290	0	0	0	95	41.1255
scaffold_15	186708	38.44	1	212	1.14	0.613	0.447	1.038	294.56	146.00	0.11	0	0.0000	15	7.0755	0	0	0	97	45.7547
scaffold_16	181885	39.22	1	193	1.06	0.669	0.498	0.664	310.71	169.00	0.11	0	0.0000	10	5.1813	0	0	0	89	46.1140
scaffold_17	173377	38.76	1	201	1.16	0.567	0.450	0.914	329.71	157.00	0.09	0	0.0000	9	4.4776	0	0	0	88	43.7811
scaffold_18	167496	38.45	1	167	1.00	0.665	0.486	0.876	351.19	233.00	0.04	0	0.0000	3	1.7964	0	0	0	88	52.6946
scaffold_19	157431	38.20	1	178	1.13	0.631	0.426	0.978	282.53	172.00	0.09	0	0.0000	15	8.4270	0	0	0	81	45.5056
scaffold_20	155495	38.81	1	186	1.20	0.608	0.420	1.163	253.70	133.00	0.10	0	0.0000	12	6.4516	0	0	0	96	51.6129
scaffold_21	149892	38.27	1	194	1.29	0.549	0.420	1.000	262.69	171.00	0.13	4	2.0619	17	8.7629	0	0	0	91	46.9072
scaffold_22	149334	38.19	1	155	1.04	0.601	0.483	1.214	382.23	221.50	0.04	0	0.0000	16	10.3226	0	0	0	61	39.3548
scaffold_23	146928	38.64	1	165	1.12	0.637	0.486	0.618	293.26	169.00	0.12	0	0.0000	10	6.0606	0	0	0	65	39.3939
scaffold_24	146601	38.86	1	181	1.23	0.540	0.357	1.011	295.62	144.00	0.08	0	0.0000	7	3.8674	0	0	0	88	48.6188
scaffold_25	143642	38.96	1	155	1.08	0.621	0.459	1.067	350.88	246.00	0.11	4	2.5806	10	6.4516	0	0	0	69	44.5161
scaffold_26	140364	37.50	1	156	1.11	0.657	0.462	1.328	279.67	132.00	0.11	0	0.0000	7	4.4872	0	0	0	41	26.2821
scaffold_27	139226	38.46	1	178	1.28	0.532	0.395	0.914	283.09	149.50	0.10	0	0.0000	4	2.2472	0	0	0	89	50.0000
scaffold_28	135638	38.69	1	131	0.97	0.720	0.504	1.729	339.67	180.00	0.06	0	0.0000	7	5.3435	0	0	0	60	45.8015
scaffold_29	135226	39.34	1	160	1.18	0.615	0.471	1.254	262.28	152.00	0.10	0	0.0000	9	5.6250	0	0	0	91	56.8750
scaffold_30	132527	38.64	1	152	1.15	0.610	0.495	0.900	288.38	173.00	0.08	0	0.0000	7	4.6053	0	0	0	69	45.3947
scaffold_31	130281	38.59	1	146	1.12	0.682	0.447	0.947	248.38	119.50	0.13	0	0.0000	12	8.2192	0	0	0	69	47.2603
scaffold_32	126966	37.86	1	149	1.17	0.568	0.417	0.774	303.45	147.00	0.06	0	0.0000	6	4.0268	0	0	0	63	42.2819
scaffold_33	126784	38.13	1	166	1.31	0.466	0.364	1.128	324.29	163.00	0.08	0	0.0000	12	7.2289	0	0	0	92	55.4217
scaffold_34	126126	38.87	1	121	0.96	0.690	0.489	1.017	384.54	240.00	0.07	3	2.4793	13	10.7438	0	0	0	58	47.9339
scaffold_35	118846	38.96	1	121	1.02	0.667	0.507	0.862	338.51	216.50	0.04	0	0.0000	6	4.9587	0	0	0	56	46.2810
scaffold_36	118738	38.09	1	156	1.31	0.535	0.427	0.625	244.47	144.00	0.06	0	0.0000	10	6.4103	0	0	0	63	40.3846
scaffold_37	117504	38.87	1	131	1.11	0.607	0.522	1.220	327.21	226.00	0.11	0	0.0000	8	6.1069	0	0	0	46	35.1145
scaffold_38	115249	38.26	1	154	1.34	0.500	0.384	1.232	274.19	108.00	0.08	0	0.0000	3	1.9481	0	0	0	58	37.6623
scaffold_39	111803	38.48	1	140	1.25	0.530	0.421	0.944	300.54	164.00	0.09	0	0.0000	10	7.1429	0	0	0	74	52.8571
scaffold_40	111705	38.98	1	161	1.44	0.480	0.372	1.038	247.64	138.00	0.11	0	0.0000	8	4.9689	0	0	0	71	44.0994
scaffold_41	111196	38.67	1	128	1.15	0.613	0.435	0.684	278.33	168.00	0.07	0	0.0000	6	4.6875	0	0	0	70	54.6875
scaffold_42	110927	38.59	1	140	1.26	0.543	0.427	1.642	272.44	141.50	0.07	0	0.0000	8	5.7143	0	0	0	56	40.0000
scaffold_43	109491	38.11	1	123	1.12	0.569	0.435	0.984	360.58	187.00	0.10	0	0.0000	8	6.5041	0	0	0	50	40.6504
scaffold_44	109397	37.99	1	122	1.12	0.649	0.484	1.000	276.73	180.00	0.08	0	0.0000	5	4.0984	0	0	0	49	40.1639
scaffold_45	105741	38.24	1	116	1.10	0.649	0.484	1.468	309.04	244.00	0.14	0	0.0000	8	6.8966	0	0	0	43	37.0690
scaffold_46	103147	38.83	1	103	1.00	0.588	0.492	0.746	456.37	335.50	0.08	0	0.0000	12	11.6505	0	0	0	48	46.6019
scaffold_47	103119	38.54	1	120	1.16	0.581	0.474	0.667	298.16	163.50	0.07	0	0.0000	13	10.8333	0	0	0	49	40.8333
scaffold_48	102152	38.16	1	116	1.14	0.622	0.514	1.698	306.61	201.00	0.15	0	0.0000	4	3.4483	0	0	0	55	47.4138
scaffold_49	101173	38.09	1	123	1.22	0.590	0.468	1.733	259.85	150.50	0.09	0	0.0000	5	4.0650	0	0	0	25	20.3252
scaffold_50	100531	39.33	1	95	0.94	0.698	0.498	0.727	378.22	225.00	0.03	0	0.0000	12	12.6316	0	0	0	39	41.0526
scaffold_51	100271	38.32	1	100	1.00	0.684	0.531	1.439	334.71	211.50	0.04	0	0.0000	5	5.0000	0	0	0	43	43.0000
scaffold_52	100253	37.92	1	103	1.03	0.625	0.447	0.873	369.50	203.00	0.05	0	0.0000	5	4.8544	0	0	0	63	61.1650
scaffold_53	97699	37.87	1	126	1.29	0.549	0.420	0.938	240.53	159.50	0.03	0	0.0000	6	4.7619	0	0	0	53	42.0635
scaffold_54	97078	38.71	1	99	1.02	0.712	0.552	0.707	292.97	122.00	0.07	0	0.0000	8	8.0808	0	0	0	50	50.5051
scaffold_55	95897	38.91	1	105	1.09	0.687	0.603	0.810	257.86	179.50	0.10	0	0.0000	9	8.5714	0	0	0	48	45.7143
scaffold_56	94879	38.24	1	119	1.25	0.535	0.435	0.587	292.62	169.00	0.08	0	0.0000	11	9.2437	0	0	0	66	55.4622
scaffold_57	92599	38.98	1	100	1.08	0.595	0.440	1.041	355.17	241.50	0.06	0	0.0000	7	7.0000	0	0	0	43	43.0000
scaffold_58	88956	38.55	1	94	1.06	0.628	0.507	0.709	360.80	154.50	0.10	0	0.0000	6	6.3830	0	0	0	43	45.7447
scaffold_59	85898	38.55	1	97	1.13	0.576	0.396	0.644	338.53	157.00	0.08	1	1.0309	7	7.2165	0	0	0	53	54.6392
scaffold_60	85702	38.55	1	85	0.99	0.681	0.444	1.500	376.04	206.00	0.12	0	0.0000	6	7.0588	0	0	0	41	48.2353
scaffold_61	82671	38.07	1	110	1.33	0.537	0.443	0.930	243.13	106.00	0.09	0	0.0000	2	1.8182	0	0	0	43	39.0909
scaffold_62	82639	37.27	1	70	0.85	0.760	0.471	0.944	442.78	100.00	0.04	0	0.0000	7	10.0000	0	0	0	26	37.1429
scaffold_63	82279	38.27	1	96	1.17	0.621	0.395	0.574	277.88	134.00	0.11	0	0.0000	7	7.2917	0	0	0	44	45.8333
scaffold_64	81601	38.80	1	107	1.31	0.573	0.456	1.277	228.81	143.50	0.16	0	0.0000	4	3.7383	0	0	0	47	43.9252
scaffold_65	81320	38.14	1	103	1.27	0.570	0.483	0.807	247.32	215.00	0.10	4	3.8835	15	14.5631	0	0	0	46	44.6602
scaffold_66	81300	37.16	1	73	0.90	0.756	0.576	0.872	376.54	275.00	0.04	0	0.0000	2	2.7397	0	0	0	27	36.9863
scaffold_67	79372	38.85	1	99	1.25	0.578	0.471	0.523	262.00	145.50	0.12	0	0.0000	3	3.0303	0	0	0	40	40.4040
scaffold_68	79231	38.33	1	89	1.12	0.651	0.501	0.780	253.33	149.00	0.04	0	0.0000	8	8.9888	0	0	0	42	47.1910
scaffold_69	77873	38.24	1	67	0.86	0.795	0.723	0.634	427.74	295.00	0.15	0	0.0000	6	8.9552	0	0	0	30	44.7761
scaffold_70	77131	37.98	1	89	1.15	0.657	0.516	1.282	227.12	151.50	0.04	0	0.0000	11	12.3596	0	0	0	41	46.0674
scaffold_71	75144	38.42	1	73	0.97	0.711	0.519	0.825	329.07	138.50	0.04	0	0.0000	7	9.5890	0	0	0	42	57.5342
scaffold_72	73900	38.58	1	75	1.01	0.669	0.432	1.273	342.30	191.00	0.07	0	0.0000	6	8.0000	0	0	0	38	50.6667
scaffold_73	73560	37.56	1	73	0.99	0.718	0.573	0.780	322.39	169.00	0.12	0	0.0000	4	5.4795	0	0	0	29	39.7260
scaffold_74	73405	38.99	1	85	1.16	0.578	0.399	0.700	314.26	190.00	0.08	0	0.0000	6	7.0588	0	0	0	37	43.5294
scaffold_75	72954	38.41	1	85	1.17	0.572	0.450	0.604	318.43	236.00	0.07	0	0.0000	9	10.5882	0	0	0	42	49.4118
scaffold_76	71771	38.30	1	76	1.06	0.623	0.489	0.689	351.93	243.00	0.08	0	0.0000	3	3.9474	0	0	0	37	48.6842
scaffold_77	70998	38.68	1	81	1.14	0.640	0.471	1.314	253.49	183.00	0.07	0	0.0000	8	9.8765	0	0	0	37	45.6790
scaffold_78	69041	42.75	1	63	0.91	0.831	0.498	0.703	279.76	114.00	0.05	0	0.0000	9	14.2857	0	0	0	25	39.6825
scaffold_79	68786	38.65	1	76	1.10	0.641	0.456	1.235	281.11	182.00	0.04	0	0.0000	7	9.2105	0	0	0	30	39.4737
scaffold_80	65748	38.96	1	91	1.38	0.518	0.438	0.784	217.53	119.00	0.03	0	0.0000	7	7.6923	0	0	0	49	53.8462
scaffold_81	65649	38.54	1	76	1.16	0.602	0.464	1.235	277.88	202.50	0.05	0	0.0000	2	2.6316	0	0	0	28	36.8421
scaffold_82	63793	38.84	1	66	1.03	0.608	0.498	0.404	409.97	242.50	0.11	0	0.0000	7	10.6061	0	0	0	23	34.8485
scaffold_83	63325	38.08	1	82	1.29	0.567	0.399	1.050	238.85	112.00	0.12	0	0.0000	2	2.4390	0	0	0	31	37.8049
scaffold_84	63232	39.47	1	77	1.22	0.537	0.390	1.139	308.76	149.00	0.08	0	0.0000	6	7.7922	0	0	0	40	51.9481
scaffold_85	62785	39.19	1	46	0.73	0.949	0.617	1.000	428.91	386.00	0.07	0	0.0000	9	19.5652	0	0	0	29	63.0435
scaffold_86	62295	38.80	1	72	1.16	0.534	0.414	0.440	358.15	206.00	0.08	0	0.0000	5	6.9444	0	1	0	40	55.5556
scaffold_87	62183	39.47	1	75	1.21	0.611	0.477	0.500	237.13	102.50	0.07	0	0.0000	3	4.0000	0	0	0	39	52.0000
scaffold_88	61928	39.17	1	66	1.07	0.660	0.561	0.941	322.02	154.00	0.12	0	0.0000	5	7.5758	0	0	0	39	59.0909
scaffold_89	61245	39.34	1	66	1.08	0.591	0.438	1.357	337.78	213.00	0.03	0	0.0000	5	7.5758	0	0	0	29	43.9394
scaffold_90	58928	38.55	1	80	1.36	0.464	0.383	1.424	291.58	137.50	0.07	0	0.0000	4	5.0000	0	0	0	35	43.7500
scaffold_91	58557	37.93	1	55	0.94	0.797	0.435	0.833	296.76	207.00	0.11	0	0.0000	5	9.0909	0	0	0	27	49.0909
scaffold_92	58142	38.46	1	56	0.96	0.822	0.629	1.154	247.42	149.00	0.11	0	0.0000	8	14.2857	0	0	0	22	39.2857
scaffold_93	57150	39.05	1	66	1.15	0.642	0.481	0.571	251.58	122.00	0.11	0	0.0000	8	12.1212	0	0	0	27	40.9091
scaffold_94	56413	38.56	1	58	1.03	0.686	0.524	1.148	279.82	188.00	0.03	0	0.0000	9	15.5172	0	0	0	28	48.2759
scaffold_95	55684	38.93	1	60	1.08	0.647	0.432	1.400	332.75	259.50	0.12	1	1.6667	3	5.0000	0	0	0	17	28.3333
scaffold_96	54770	41.11	1	59	1.08	0.654	0.477	0.639	304.58	221.00	0.08	0	0.0000	4	6.7797	0	0	0	25	42.3729
scaffold_97	54560	38.34	1	76	1.39	0.506	0.412	1.054	245.90	125.00	0.09	0	0.0000	3	3.9474	0	0	0	39	51.3158
scaffold_98	54243	37.52	1	58	1.07	0.617	0.493	0.933	340.24	190.00	0.05	0	0.0000	2	3.4483	0	0	0	23	39.6552
scaffold_99	54095	38.33	1	66	1.22	0.518	0.414	1.129	327.85	224.00	0.05	0	0.0000	3	4.5455	0	0	0	18	27.2727
scaffold_100	52466	38.14	1	68	1.30	0.563	0.474	1.957	246.08	157.00	0.13	0	0.0000	0	0.0000	0	0	0	10	14.7059
scaffold_101	50002	38.54	1	50	1.00	0.702	0.546	1.000	354.33	258.00	0.14	0	0.0000	5	10.0000	0	0	0	22	44.0000
scaffold_102	49954	39.36	1	44	0.88	0.902	0.737	1.444	260.93	166.00	0.09	0	0.0000	3	6.8182	0	0	0	19	43.1818
scaffold_103	49165	39.36	1	57	1.16	0.596	0.465	0.425	272.46	189.00	0.02	0	0.0000	5	8.7719	0	0	0	30	52.6316
scaffold_104	48908	38.80	1	54	1.10	0.629	0.470	2.375	304.70	201.50	0.06	0	0.0000	2	3.7037	0	0	0	22	40.7407
scaffold_105	47688	38.32	1	39	0.82	0.870	0.501	0.857	360.58	206.00	0.05	0	0.0000	1	2.5641	0	0	0	15	38.4615
scaffold_106	47643	39.94	1	56	1.18	0.498	0.406	1.074	368.57	251.00	0.04	0	0.0000	1	1.7857	0	0	0	21	37.5000
scaffold_107	47365	38.52	1	48	1.01	0.645	0.558	0.778	373.11	150.00	0.08	0	0.0000	0	0.0000	0	0	0	22	45.8333
scaffold_108	46201	38.31	1	51	1.10	0.633	0.576	0.545	302.09	200.00	0.10	0	0.0000	1	1.9608	0	0	0	21	41.1765
scaffold_109	44397	39.23	1	36	0.81	0.960	0.641	1.250	291.74	107.00	0.06	0	0.0000	1	2.7778	0	0	0	25	69.4444
scaffold_110	44111	38.60	1	53	1.20	0.468	0.387	1.304	420.71	158.00	0.15	0	0.0000	8	15.0943	0	0	0	28	52.8302
scaffold_111	43202	38.55	1	42	0.97	0.756	0.738	1.800	288.15	158.00	0.05	0	0.0000	2	4.7619	0	0	0	12	28.5714
scaffold_112	42634	39.12	1	59	1.38	0.486	0.408	0.967	246.80	102.50	0.05	0	0.0000	2	3.3898	0	0	0	26	44.0678
scaffold_113	42189	38.15	1	55	1.30	0.551	0.372	0.964	237.76	138.00	0.11	0	0.0000	4	7.2727	0	0	0	27	49.0909
scaffold_114	42005	38.48	1	43	1.02	0.658	0.558	0.955	386.11	254.50	0.16	0	0.0000	3	6.9767	0	0	0	21	48.8372
scaffold_115	41959	38.81	1	40	0.95	0.746	0.605	0.905	305.18	212.00	0.00	0	0.0000	0	0.0000	0	0	0	10	25.0000
scaffold_116	41194	39.17	1	37	0.90	0.701	0.537	0.370	425.75	173.00	0.03	0	0.0000	1	2.7027	0	0	0	18	48.6486
scaffold_117	39826	40.15	1	46	1.16	0.680	0.516	1.091	211.76	44.00	0.11	0	0.0000	1	2.1739	0	0	0	31	67.3913
scaffold_118	39616	39.05	1	39	0.98	0.717	0.594	0.773	317.61	253.00	0.08	0	0.0000	4	10.2564	0	0	0	18	46.1538
scaffold_119	38726	38.58	1	47	1.21	0.615	0.525	1.043	237.65	169.00	0.13	0	0.0000	1	2.1277	0	0	0	19	40.4255
scaffold_120	37871	39.58	1	41	1.08	0.669	0.543	1.050	288.38	197.00	0.07	0	0.0000	5	12.1951	0	0	0	19	46.3415
scaffold_121	37683	38.96	1	38	1.01	0.632	0.438	4.429	405.21	192.00	0.11	0	0.0000	1	2.6316	0	0	0	15	39.4737
scaffold_122	36644	37.93	1	37	1.01	0.663	0.450	0.542	316.89	124.00	0.05	0	0.0000	2	5.4054	0	0	0	9	24.3243
scaffold_123	36419	40.13	1	45	1.24	0.582	0.396	0.452	261.57	191.50	0.11	0	0.0000	2	4.4444	0	0	0	26	57.7778
scaffold_124	36116	37.14	1	42	1.16	0.567	0.443	0.615	301.83	145.00	0.02	0	0.0000	2	4.7619	0	0	0	15	35.7143
scaffold_125	35186	37.39	1	46	1.31	0.573	0.436	2.067	242.92	217.00	0.15	0	0.0000	4	8.6957	0	0	0	15	32.6087
scaffold_126	35000	39.61	1	40	1.14	0.511	0.345	2.333	372.18	221.00	0.03	0	0.0000	0	0.0000	0	0	0	17	42.5000
scaffold_127	34773	37.73	1	42	1.21	0.508	0.482	1.333	348.69	155.00	0.07	0	0.0000	6	14.2857	0	0	0	23	54.7619
scaffold_128	34664	38.36	1	33	0.95	0.695	0.597	2.000	381.90	209.00	0.06	0	0.0000	0	0.0000	0	0	0	6	18.1818
scaffold_129	34085	39.65	1	29	0.85	0.839	0.522	1.071	334.39	299.00	0.03	0	0.0000	6	20.6897	0	0	0	20	68.9655
scaffold_130	33801	39.27	1	35	1.04	0.712	0.522	2.500	277.69	251.50	0.09	0	0.0000	1	2.8571	0	0	0	15	42.8571
scaffold_131	33560	38.77	1	36	1.07	0.551	0.471	1.769	419.45	268.00	0.08	0	0.0000	0	0.0000	0	0	0	12	33.3333
scaffold_132	33441	39.60	1	35	1.05	0.654	0.516	1.917	314.09	153.00	0.06	0	0.0000	0	0.0000	0	0	0	13	37.1429
scaffold_133	33354	39.31	1	36	1.08	0.598	0.519	1.250	331.94	269.00	0.06	0	0.0000	1	2.7778	0	0	0	16	44.4444
