ID	LENGTH	GC	COVERAGE	ORF_COUNT	ORF_PER_KB	ORF_MEAN	ORF_MEDIAN	ORF_PLUS_STRAND_RATIO	INTERGENIC_MEAN	INTERGENIC_MEDIAN	FRACTION_OVERLAPPING_ORFS	NCLDV_HITS	NCLDV_PERCENT	NCVOG_HITS	NCVOG_PERCENT	CAPSID	RIBOSOMAL	MT	PFAM_HITS	PFAM_PERCENT
scaffold_1	1224245	54.65	1	1437	1.17	0.559	0.390	0.931	334.00	209.00	0.08	0	0.0000	48	3.3403	0	0	0	394	27.4182
scaffold_2	1148899	54.38	1	1317	1.15	0.572	0.384	1.017	350.07	222.00	0.09	0	0.0000	52	3.9484	0	0	0	346	26.2718
scaffold_3	1066968	54.61	1	1217	1.14	0.582	0.378	1.049	339.29	195.00	0.09	1	0.0822	41	3.3689	0	0	0	317	26.0477
scaffold_4	1019642	54.54	1	1192	1.17	0.579	0.390	1.010	324.51	209.00	0.09	3	0.2517	48	4.0268	0	0	0	320	26.8456
scaffold_5	979140	54.34	1	1153	1.18	0.559	0.396	0.964	335.67	223.00	0.08	4	0.3469	40	3.4692	0	0	0	301	26.1058
scaffold_6	838898	54.28	1	993	1.18	0.557	0.375	0.986	329.47	202.00	0.08	7	0.7049	38	3.8268	0	0	0	281	28.2981
scaffold_7	662952	54.10	1	763	1.15	0.546	0.360	0.997	367.49	238.50	0.08	0	0.0000	24	3.1455	0	1	0	162	21.2320
scaffold_8	635881	54.35	1	801	1.26	0.525	0.333	0.925	318.78	192.00	0.09	1	0.1248	28	3.4956	0	0	0	202	25.2185
scaffold_9	599721	54.65	1	712	1.19	0.562	0.399	0.909	339.32	208.50	0.11	3	0.4213	28	3.9326	0	0	0	197	27.6685
scaffold_10	590428	54.62	1	660	1.12	0.617	0.411	0.976	321.32	207.00	0.08	3	0.4545	33	5.0000	0	0	0	194	29.3939
scaffold_11	560720	54.36	1	615	1.10	0.605	0.384	0.798	351.53	208.50	0.09	4	0.6504	20	3.2520	0	0	0	197	32.0325
scaffold_12	559618	54.24	1	724	1.29	0.525	0.346	0.926	286.00	177.00	0.08	0	0.0000	19	2.6243	0	0	0	157	21.6851
scaffold_13	545216	54.54	1	749	1.37	0.485	0.336	0.906	287.39	192.00	0.09	3	0.4005	19	2.5367	0	0	0	168	22.4299
scaffold_14	538832	54.45	1	703	1.30	0.506	0.330	0.905	304.47	206.00	0.09	0	0.0000	15	2.1337	0	0	0	158	22.4751
scaffold_15	493017	54.48	1	672	1.36	0.491	0.333	1.036	288.06	183.00	0.10	0	0.0000	15	2.2321	0	0	0	169	25.1488
scaffold_16	473289	54.76	1	591	1.25	0.575	0.354	0.983	275.29	180.00	0.11	0	0.0000	29	4.9069	0	0	0	195	32.9949
scaffold_17	458608	54.38	1	531	1.16	0.538	0.384	0.718	382.79	238.00	0.09	0	0.0000	18	3.3898	0	0	0	135	25.4237
scaffold_18	424220	54.27	1	558	1.32	0.510	0.352	0.848	294.42	200.50	0.10	0	0.0000	13	2.3297	0	0	0	114	20.4301
scaffold_19	401614	54.44	1	472	1.18	0.550	0.377	1.009	339.32	199.50	0.07	0	0.0000	19	4.0254	0	1	0	117	24.7881
scaffold_20	394008	54.16	1	525	1.33	0.493	0.345	0.895	308.01	203.00	0.10	0	0.0000	19	3.6190	0	0	0	139	26.4762
scaffold_21	379813	54.67	1	515	1.36	0.479	0.300	1.111	301.97	190.00	0.09	0	0.0000	1	0.1942	0	0	0	106	20.5825
scaffold_22	375931	54.45	1	508	1.35	0.477	0.342	1.016	295.60	194.00	0.07	0	0.0000	10	1.9685	0	1	0	119	23.4252
