pATPase-polinto-consensus	NODE_14_length_346647_cov_16.546608	44.02	234	121	10	1	225	329368	328673	9.2e-48	191.2
pATPase-consensus	NODE_14_length_346647_cov_16.546608	41.25	240	132	9	3	234	329362	328649	4.6e-45	182.3
capsid-polinto-consensus	NODE_14_length_346647_cov_16.546608	41.99	381	190	31	19	370	107453	106320	6.5e-19	97.7
dnapol-consensus	NODE_55_length_162308_cov_20.943784	38.44	874	449	89	25	813	105979	108585	1.9e-60	236.9
dnapol-consensus	NODE_14_length_346647_cov_16.546608	34.12	891	488	99	17	812	155881	153224	1.1e-57	227.7
dnapol-consensus	NODE_35_length_208459_cov_20.409810	25.60	668	390	107	219	804	105533	107458	1.2e-31	141.2
capsid-consensus	NODE_14_length_346647_cov_16.546608	47.92	409	195	18	2	396	107543	106332	1.2e-62	243.1
capsid-consensus	NODE_14_length_346647_cov_16.546608	32.19	407	250	26	7	397	325633	324446	4.2e-32	140.0
rnapol1-consensus	NODE_180_length_28124_cov_20.840197	37.05	1185	462	284	68	972	349	3880	6.9e-40	166.6
rnapol1-consensus	NODE_180_length_28124_cov_20.840197	40.20	199	101	18	974	1154	4067	4660	1.1e-28	129.5
rnapol1-consensus	NODE_14_length_346647_cov_16.546608	30.76	1050	358	369	244	924	281989	278847	8.2e-36	155.5
rnapol1-consensus	NODE_14_length_346647_cov_16.546608	35.61	278	139	40	2	240	282838	282011	4.7e-20	103.2
rnapol1-consensus	NODE_14_length_346647_cov_16.546608	40.82	147	83	4	1002	1144	278399	277962	1.9e-17	94.5
rnapol1-consensus	NODE_46_length_175942_cov_20.626896	34.26	1153	525	233	91	1014	109749	113184	1.9e-33	147.7
rnapol1-consensus	NODE_46_length_175942_cov_20.626896	38.64	132	77	4	1017	1144	113194	113586	3.5e-14	83.7
rnapol1-consensus	NODE_50_length_167885_cov_20.860311	31.79	887	442	163	167	892	50716	48065	3.1e-31	140.3
rnapol1-consensus	NODE_50_length_167885_cov_20.860311	35.06	174	108	5	976	1144	47338	46820	2.7e-16	90.7
primase-consensus	NODE_14_length_346647_cov_16.546608	31.36	456	285	28	300	730	65722	64367	2.3e-47	193.3
primase-consensus	NODE_14_length_346647_cov_16.546608	32.57	439	272	24	305	724	175026	176324	4e-43	179.2
vltf3-consensus	NODE_14_length_346647_cov_16.546608	32.18	317	173	42	6	283	267888	268826	1.3e-32	142.9
rnapol2-consensus	NODE_235_length_14439_cov_21.432006	37.28	1065	569	99	46	1022	4215	1057	5.9e-86	318.5
rnapol2-consensus	NODE_157_length_38120_cov_20.811345	45.82	1028	442	115	110	1022	8779	5699	5.6e-84	313.4
rnapol2-consensus	NODE_14_length_346647_cov_16.546608	44.18	1057	512	78	40	1021	269012	272170	1.7e-82	310.4
rnapol2-consensus	NODE_120_length_62712_cov_19.851120	31.94	1055	601	117	74	1022	5820	8948	5.7e-66	254.3
