ID	LENGTH	GC	COVERAGE	ORF_COUNT	ORF_PER_KB	ORF_MEAN	ORF_MEDIAN	ORF_PLUS_STRAND_RATIO	INTERGENIC_MEAN	INTERGENIC_MEDIAN	FRACTION_OVERLAPPING_ORFS	NCLDV_HITS	NCLDV_PERCENT	NCVOG_HITS	NCVOG_PERCENT	CAPSID	RIBOSOMAL	MT	PFAM_HITS	PFAM_PERCENT
scaffold_1	487796	45.56	1	489	1.00	0.861	0.759	0.273	158.62	114.00	0.12	0	0.0000	42	8.5890	0	0	0	375	76.6871
scaffold_2	347630	45.43	1	287	0.83	1.032	0.891	1.208	197.98	144.50	0.08	0	0.0000	24	8.3624	0	0	0	248	86.4111
scaffold_3	250121	46.45	1	211	0.84	1.049	0.840	3.396	150.47	116.00	0.09	0	0.0000	20	9.4787	0	0	0	175	82.9384
scaffold_4	240776	45.89	1	198	0.82	1.031	0.891	2.536	214.93	184.50	0.10	0	0.0000	25	12.6263	0	0	0	167	84.3434
scaffold_5	218655	47.54	1	179	0.82	1.054	0.921	1.841	196.31	164.00	0.13	0	0.0000	24	13.4078	0	0	0	146	81.5642
scaffold_6	205801	45.61	1	185	0.90	0.948	0.846	1.721	177.90	137.00	0.06	0	0.0000	17	9.1892	0	0	0	147	79.4595
scaffold_7	199253	45.10	1	166	0.83	1.052	0.948	0.317	169.49	154.50	0.11	0	0.0000	20	12.0482	0	0	0	137	82.5301
scaffold_8	187486	43.95	1	167	0.89	0.996	0.873	0.403	138.97	130.50	0.07	0	0.0000	16	9.5808	0	0	0	140	83.8323
scaffold_9	166760	46.45	1	155	0.93	0.933	0.810	1.818	150.21	133.50	0.02	0	0.0000	16	10.3226	0	0	0	126	81.2903
scaffold_10	153127	44.71	1	131	0.86	1.038	0.930	4.696	147.21	122.00	0.08	0	0.0000	14	10.6870	0	0	0	113	86.2595
scaffold_11	152465	47.29	1	127	0.83	1.044	0.909	5.350	180.29	142.50	0.11	0	0.0000	11	8.6614	0	0	0	107	84.2520
scaffold_12	133304	44.78	1	104	0.78	1.166	0.991	0.284	133.67	113.00	0.11	0	0.0000	5	4.8077	0	0	0	96	92.3077
scaffold_13	127441	46.66	1	114	0.89	0.987	0.923	3.957	150.75	126.50	0.09	0	0.0000	9	7.8947	0	0	0	95	83.3333
scaffold_14	120318	53.69	1	163	1.35	0.488	0.318	1.117	299.81	144.00	0.14	0	0.0000	5	3.0675	0	0	0	49	30.0613
scaffold_15	111718	47.63	1	104	0.93	0.905	0.864	0.351	180.63	166.00	0.06	0	0.0000	11	10.5769	0	0	0	85	81.7308
scaffold_16	101240	55.11	1	122	1.21	0.540	0.348	0.671	335.43	218.00	0.10	0	0.0000	6	4.9180	0	0	0	31	25.4098
scaffold_17	93430	54.45	1	158	1.69	0.375	0.278	1.508	251.50	144.00	0.10	0	0.0000	6	3.7975	0	0	0	39	24.6835
scaffold_18	92272	46.36	1	71	0.77	1.147	0.987	3.438	168.12	138.00	0.06	0	0.0000	5	7.0423	0	0	0	59	83.0986
scaffold_19	84625	54.23	1	130	1.54	0.411	0.269	0.940	274.25	198.00	0.09	0	0.0000	1	0.7692	0	0	0	51	39.2308
scaffold_20	82714	53.11	1	113	1.37	0.459	0.315	0.823	298.73	172.00	0.04	0	0.0000	3	2.6549	0	0	0	27	23.8938
scaffold_21	79461	46.83	1	75	0.94	0.897	0.813	0.442	179.93	154.00	0.08	0	0.0000	4	5.3333	0	0	0	65	86.6667
scaffold_22	79034	53.01	1	126	1.59	0.422	0.295	1.172	245.96	131.50	0.12	0	0.0000	2	1.5873	0	0	0	27	21.4286
scaffold_23	77494	51.19	1	107	1.38	0.451	0.306	0.754	308.78	220.00	0.08	0	0.0000	1	0.9346	0	0	0	30	28.0374
scaffold_24	76203	51.06	1	92	1.21	0.533	0.349	1.000	323.60	202.00	0.09	0	0.0000	3	3.2609	0	0	0	27	29.3478
scaffold_25	75143	57.17	1	99	1.32	0.558	0.345	1.152	235.44	126.00	0.09	0	0.0000	5	5.0505	0	0	0	25	25.2525
scaffold_26	71187	54.41	1	106	1.49	0.457	0.336	1.304	253.34	135.00	0.09	0	0.0000	3	2.8302	0	0	0	36	33.9623
scaffold_27	68570	47.04	1	70	1.02	0.825	0.762	22.333	170.60	119.00	0.10	0	0.0000	12	17.1429	0	0	0	64	91.4286
scaffold_28	67716	53.81	1	116	1.71	0.376	0.289	1.189	260.62	165.50	0.12	0	0.0000	1	0.8621	0	0	0	36	31.0345
scaffold_29	67627	56.17	1	97	1.43	0.456	0.357	0.865	297.94	136.00	0.13	0	0.0000	2	2.0619	0	0	0	26	26.8041
scaffold_30	66607	51.53	1	85	1.28	0.477	0.261	0.545	353.88	268.00	0.07	0	0.0000	0	0.0000	0	0	0	22	25.8824
scaffold_31	66417	51.65	1	108	1.63	0.368	0.310	1.204	287.62	151.00	0.12	0	0.0000	4	3.7037	0	0	0	33	30.5556
scaffold_32	64226	56.46	1	94	1.46	0.482	0.295	0.774	239.70	137.00	0.12	0	0.0000	4	4.2553	0	0	0	10	10.6383
scaffold_33	64003	52.28	1	103	1.61	0.366	0.291	0.981	300.49	179.50	0.11	0	0.0000	6	5.8252	0	0	0	27	26.2136
scaffold_34	62800	41.72	1	61	0.97	0.911	0.594	11.200	153.16	58.00	0.20	0	0.0000	0	0.0000	0	0	0	24	39.3443
scaffold_35	62723	55.82	1	96	1.53	0.498	0.314	0.920	186.95	99.00	0.10	0	0.0000	5	5.2083	0	0	0	32	33.3333
scaffold_36	62624	45.69	1	78	1.25	0.691	0.524	18.500	113.12	69.50	0.05	2	2.5641	6	7.6923	0	0	0	72	92.3077
scaffold_37	62612	55.94	1	93	1.49	0.479	0.348	0.824	229.11	151.00	0.12	0	0.0000	2	2.1505	0	0	0	18	19.3548
scaffold_38	62371	54.54	1	91	1.46	0.420	0.312	0.685	320.75	211.00	0.14	0	0.0000	1	1.0989	0	0	0	20	21.9780
scaffold_39	61330	53.10	1	88	1.43	0.434	0.320	0.956	328.32	211.50	0.17	0	0.0000	5	5.6818	0	0	0	25	28.4091
scaffold_40	58994	43.88	1	54	0.92	0.934	0.822	2.000	163.45	180.00	0.02	0	0.0000	4	7.4074	0	0	0	48	88.8889
scaffold_41	58695	51.66	1	79	1.35	0.448	0.336	0.756	350.16	223.50	0.11	0	0.0000	4	5.0633	0	0	0	22	27.8481
scaffold_42	58661	53.91	1	73	1.24	0.513	0.297	0.659	361.78	139.50	0.11	0	0.0000	0	0.0000	0	0	0	9	12.3288
scaffold_43	58479	53.41	1	78	1.33	0.443	0.348	0.660	389.65	245.00	0.13	0	0.0000	0	0.0000	0	0	0	24	30.7692
scaffold_44	58414	53.86	1	74	1.27	0.509	0.395	0.947	348.41	217.00	0.15	0	0.0000	4	5.4054	0	0	0	22	29.7297
scaffold_45	56641	55.05	1	68	1.20	0.553	0.372	1.615	300.11	159.00	0.09	0	0.0000	1	1.4706	0	0	0	17	25.0000
scaffold_46	56406	50.01	1	78	1.38	0.434	0.320	0.773	355.75	207.00	0.14	0	0.0000	3	3.8462	0	0	0	17	21.7949
scaffold_47	56319	54.04	1	80	1.42	0.448	0.279	0.951	298.13	184.00	0.11	0	0.0000	1	1.2500	0	0	0	23	28.7500
