ID	LENGTH	GC	COVERAGE	ORF_COUNT	ORF_PER_KB	ORF_MEAN	ORF_MEDIAN	ORF_PLUS_STRAND_RATIO	INTERGENIC_MEAN	INTERGENIC_MEDIAN	FRACTION_OVERLAPPING_ORFS	NCLDV_HITS	NCLDV_PERCENT	NCVOG_HITS	NCVOG_PERCENT	CAPSID	RIBOSOMAL	MT	PFAM_HITS	PFAM_PERCENT
scaffold_1	116907	58.76	1	120	1.03	0.707	0.534	0.622	289.27	206.00	0.08	0	0.0000	7	5.8333	0	0	0	56	46.6667
scaffold_2	116226	59.76	1	108	0.93	0.877	0.665	1.348	211.99	128.50	0.06	0	0.0000	7	6.4815	0	0	0	46	42.5926
scaffold_3	111246	59.08	1	130	1.17	0.713	0.443	1.167	178.82	123.50	0.10	0	0.0000	2	1.5385	0	0	0	33	25.3846
scaffold_4	80067	58.10	1	62	0.77	0.969	0.593	0.938	397.73	259.00	0.15	0	0.0000	3	4.8387	0	0	0	16	25.8065
scaffold_5	78899	58.49	1	77	0.98	0.871	0.408	1.139	213.97	117.00	0.14	0	0.0000	2	2.5974	0	0	0	19	24.6753
scaffold_6	77812	59.21	1	75	0.96	0.748	0.492	1.083	293.93	189.00	0.01	0	0.0000	5	6.6667	0	0	0	32	42.6667
scaffold_7	76957	58.99	1	80	1.04	0.779	0.612	0.860	206.23	93.00	0.06	0	0.0000	7	8.7500	0	0	0	30	37.5000
scaffold_8	75132	58.97	1	53	0.71	1.138	0.624	0.656	293.26	174.00	0.06	0	0.0000	0	0.0000	0	0	0	19	35.8491
scaffold_9	74386	58.83	1	77	1.04	0.766	0.486	0.674	220.06	117.50	0.08	0	0.0000	2	2.5974	0	0	0	27	35.0649
scaffold_10	70366	60.21	1	83	1.18	0.707	0.435	1.075	177.36	98.50	0.12	0	0.0000	2	2.4096	0	0	0	22	26.5060
scaffold_11	69693	59.71	1	69	0.99	0.891	0.549	1.029	138.68	88.50	0.07	0	0.0000	3	4.3478	0	0	0	18	26.0870
scaffold_12	67933	59.29	1	95	1.40	0.599	0.369	0.696	151.92	65.00	0.16	0	0.0000	1	1.0526	0	0	0	25	26.3158
scaffold_13	64306	59.41	1	65	1.01	0.774	0.537	0.806	231.95	114.00	0.05	0	0.0000	6	9.2308	0	0	0	29	44.6154
scaffold_14	63045	60.46	1	68	1.08	0.780	0.546	0.659	168.03	86.00	0.04	0	0.0000	2	2.9412	0	0	0	20	29.4118
scaffold_15	59918	57.86	1	78	1.30	0.616	0.412	0.660	183.09	133.00	0.12	0	0.0000	2	2.5641	0	0	0	26	33.3333
scaffold_16	59517	58.79	1	74	1.24	0.657	0.480	0.850	180.59	115.00	0.11	0	0.0000	4	5.4054	0	0	0	15	20.2703
scaffold_17	59147	58.60	1	71	1.20	0.715	0.477	0.690	139.73	75.00	0.07	0	0.0000	3	4.2254	0	0	0	21	29.5775
scaffold_18	59115	56.40	1	77	1.30	0.560	0.327	0.750	245.01	134.00	0.06	0	0.0000	0	0.0000	0	0	0	19	24.6753
scaffold_19	58487	58.79	1	66	1.13	0.681	0.492	1.200	230.48	167.00	0.06	0	0.0000	2	3.0303	0	0	0	25	37.8788
scaffold_20	57059	59.48	1	41	0.72	1.154	0.828	0.952	292.88	146.00	0.17	0	0.0000	6	14.6341	0	0	0	19	46.3415
scaffold_21	56974	59.36	1	55	0.97	0.785	0.606	1.037	273.16	183.00	0.07	0	0.0000	4	7.2727	0	0	0	21	38.1818
scaffold_22	56914	57.65	1	76	1.34	0.594	0.461	0.949	182.08	119.00	0.11	0	0.0000	1	1.3158	0	0	0	23	30.2632
scaffold_23	56538	57.66	1	58	1.03	0.728	0.522	1.320	265.87	100.00	0.07	0	0.0000	0	0.0000	0	0	0	28	48.2759
scaffold_24	56255	59.05	1	68	1.21	0.682	0.421	0.659	174.78	144.00	0.10	0	0.0000	2	2.9412	0	0	0	25	36.7647
scaffold_25	56116	56.70	1	60	1.07	0.730	0.561	0.818	212.34	161.00	0.03	0	0.0000	3	5.0000	0	0	0	24	40.0000
scaffold_26	55706	58.33	1	50	0.90	0.813	0.474	1.381	309.48	124.50	0.02	0	0.0000	1	2.0000	0	0	0	9	18.0000
scaffold_27	53954	58.04	1	53	0.98	0.730	0.591	0.767	312.43	212.00	0.06	0	0.0000	2	3.7736	0	0	0	22	41.5094
scaffold_28	52753	57.90	1	56	1.06	0.664	0.486	1.154	302.48	169.00	0.05	0	0.0000	3	5.3571	0	0	0	19	33.9286
scaffold_29	51993	58.96	1	62	1.19	0.677	0.481	0.476	188.54	89.50	0.11	0	0.0000	1	1.6129	0	0	0	21	33.8710
scaffold_30	51171	58.03	1	42	0.82	1.010	0.722	0.680	228.97	122.00	0.05	0	0.0000	0	0.0000	0	0	0	18	42.8571
scaffold_31	50900	61.32	1	41	0.81	1.104	0.789	0.708	152.66	114.00	0.12	0	0.0000	6	14.6341	0	0	0	7	17.0732
scaffold_32	50342	59.22	1	42	0.83	0.983	0.637	1.800	251.78	176.00	0.12	0	0.0000	1	2.3810	0	0	0	18	42.8571
scaffold_33	50280	58.81	1	58	1.15	0.692	0.516	0.706	205.22	132.00	0.12	0	0.0000	2	3.4483	0	0	0	17	29.3103
scaffold_34	50132	58.97	1	54	1.08	0.666	0.397	2.000	292.76	203.00	0.09	0	0.0000	0	0.0000	0	0	0	25	46.2963
scaffold_35	50098	57.89	1	64	1.28	0.609	0.433	1.000	182.80	90.00	0.05	0	0.0000	2	3.1250	0	0	0	34	53.1250
scaffold_36	49895	59.13	1	56	1.12	0.723	0.549	1.667	185.12	99.00	0.09	0	0.0000	2	3.5714	0	0	0	24	42.8571
scaffold_37	49650	59.27	1	50	1.01	0.775	0.530	1.083	238.17	133.00	0.02	0	0.0000	4	8.0000	0	0	0	22	44.0000
scaffold_38	49133	56.80	1	58	1.18	0.627	0.421	1.148	247.23	169.00	0.07	0	0.0000	2	3.4483	0	0	0	20	34.4828
scaffold_39	48541	60.36	1	56	1.15	0.750	0.513	1.333	153.04	128.50	0.16	0	0.0000	3	5.3571	0	0	0	15	26.7857
scaffold_40	48467	59.07	1	59	1.22	0.667	0.375	0.595	185.45	110.00	0.10	0	0.0000	2	3.3898	0	0	0	9	15.2542
scaffold_41	47199	60.19	1	56	1.19	0.704	0.429	0.647	183.11	96.00	0.14	0	0.0000	8	14.2857	0	0	0	27	48.2143
scaffold_42	47189	58.46	1	50	1.06	0.735	0.525	0.613	224.96	144.50	0.08	0	0.0000	2	4.0000	0	0	0	20	40.0000
scaffold_43	46998	58.90	1	62	1.32	0.637	0.435	0.824	134.79	78.50	0.08	1	1.6129	3	4.8387	0	0	0	18	29.0323
scaffold_44	46324	57.90	1	66	1.42	0.573	0.400	1.357	184.16	100.00	0.18	0	0.0000	3	4.5455	0	0	0	19	28.7879
scaffold_45	46307	60.18	1	54	1.17	0.745	0.435	0.688	132.75	67.50	0.09	0	0.0000	5	9.2593	0	0	0	20	37.0370
scaffold_46	45879	59.36	1	56	1.22	0.661	0.522	0.806	184.58	90.00	0.09	0	0.0000	0	0.0000	0	0	0	15	26.7857
scaffold_47	45809	58.52	1	50	1.09	0.677	0.461	0.389	265.76	183.00	0.08	0	0.0000	3	6.0000	0	0	0	19	38.0000
scaffold_48	45709	58.25	1	64	1.40	0.593	0.388	0.939	148.51	96.00	0.12	0	0.0000	1	1.5625	0	0	0	23	35.9375
scaffold_49	45665	60.56	1	45	0.99	0.875	0.609	0.875	163.78	100.00	0.09	0	0.0000	2	4.4444	0	0	0	15	33.3333
scaffold_50	45620	60.50	1	35	0.77	1.071	0.954	2.182	265.53	140.50	0.09	0	0.0000	3	8.5714	0	0	0	10	28.5714
scaffold_51	45185	59.65	1	47	1.04	0.724	0.510	0.808	262.51	167.00	0.06	0	0.0000	3	6.3830	0	0	0	17	36.1702
scaffold_52	44517	58.65	1	53	1.19	0.630	0.468	0.767	248.20	169.50	0.11	0	0.0000	1	1.8868	0	0	0	20	37.7358
scaffold_53	44442	57.51	1	59	1.33	0.601	0.483	0.475	182.58	120.00	0.07	0	0.0000	4	6.7797	0	0	0	13	22.0339
scaffold_54	44404	58.38	1	46	1.04	0.726	0.566	1.706	253.02	120.00	0.09	0	0.0000	2	4.3478	0	0	0	13	28.2609
scaffold_55	44329	60.54	1	36	0.81	1.002	0.613	0.500	237.94	137.00	0.06	0	0.0000	2	5.5556	0	0	0	16	44.4444
scaffold_56	43725	58.81	1	45	1.03	0.707	0.441	1.250	280.73	152.00	0.04	0	0.0000	3	6.6667	0	0	0	11	24.4444
scaffold_57	43632	59.79	1	30	0.69	1.238	0.653	1.143	263.68	177.00	0.10	0	0.0000	2	6.6667	0	0	0	13	43.3333
scaffold_58	43364	60.93	1	34	0.78	1.075	0.601	0.700	220.42	101.00	0.09	0	0.0000	1	2.9412	0	0	0	22	64.7059
scaffold_59	43344	60.47	1	58	1.34	0.668	0.484	0.871	111.11	77.00	0.12	0	0.0000	3	5.1724	0	0	0	17	29.3103
scaffold_60	43245	60.20	1	51	1.18	0.710	0.504	1.040	176.43	116.50	0.12	0	0.0000	3	5.8824	0	0	0	15	29.4118
scaffold_61	43179	59.69	1	44	1.02	0.849	0.496	1.588	164.24	81.00	0.09	0	0.0000	2	4.5455	0	0	0	15	34.0909
scaffold_62	43125	58.45	1	52	1.21	0.699	0.495	1.261	158.44	109.00	0.06	0	0.0000	1	1.9231	0	0	0	21	40.3846
scaffold_63	42980	59.01	1	57	1.33	0.608	0.390	0.629	160.89	106.00	0.05	0	0.0000	2	3.5088	0	0	0	16	28.0702
scaffold_64	42798	58.67	1	46	1.07	0.683	0.495	1.300	267.67	164.00	0.07	0	0.0000	3	6.5217	0	0	0	20	43.4783
scaffold_65	42760	53.67	1	48	1.12	0.654	0.444	0.846	252.98	121.00	0.02	0	0.0000	0	0.0000	0	0	0	16	33.3333
scaffold_66	42612	56.46	1	37	0.87	0.855	0.666	0.542	377.10	149.00	0.19	0	0.0000	5	13.5135	0	0	0	14	37.8378
scaffold_67	42610	60.05	1	57	1.34	0.644	0.351	1.714	129.28	61.00	0.16	0	0.0000	4	7.0175	0	0	0	25	43.8596
scaffold_68	42158	60.20	1	39	0.93	0.842	0.576	0.696	259.03	157.00	0.03	0	0.0000	1	2.5641	0	0	0	9	23.0769
scaffold_69	42108	59.46	1	51	1.21	0.663	0.453	0.759	188.76	139.00	0.06	0	0.0000	4	7.8431	0	0	0	20	39.2157
scaffold_70	41402	58.25	1	39	0.94	0.741	0.411	1.053	340.65	219.00	0.03	0	0.0000	2	5.1282	0	0	0	19	48.7179
scaffold_71	41309	58.02	1	35	0.85	0.994	0.555	1.500	217.84	146.00	0.11	0	0.0000	2	5.7143	0	0	0	12	34.2857
scaffold_72	41306	59.22	1	43	1.04	0.789	0.552	0.870	204.95	131.00	0.14	0	0.0000	2	4.6512	0	0	0	15	34.8837
scaffold_73	40886	59.15	1	36	0.88	0.949	0.717	0.440	233.93	107.50	0.11	0	0.0000	1	2.7778	0	0	0	8	22.2222
scaffold_74	40800	59.14	1	42	1.03	0.829	0.502	0.909	177.09	89.00	0.07	0	0.0000	3	7.1429	0	0	0	13	30.9524
scaffold_75	40455	58.98	1	51	1.26	0.678	0.483	0.821	132.98	79.00	0.10	0	0.0000	5	9.8039	0	0	0	14	27.4510
scaffold_76	40452	56.10	1	70	1.73	0.435	0.318	0.707	171.87	76.00	0.09	0	0.0000	1	1.4286	0	0	0	15	21.4286
scaffold_77	40315	60.35	1	47	1.17	0.758	0.381	0.880	132.46	89.00	0.06	0	0.0000	7	14.8936	0	0	0	12	25.5319
scaffold_78	40292	61.09	1	39	0.97	0.945	0.558	0.773	123.30	58.50	0.18	0	0.0000	3	7.6923	0	0	0	13	33.3333
scaffold_79	40112	59.54	1	56	1.40	0.583	0.481	1.667	170.85	90.50	0.14	0	0.0000	4	7.1429	0	0	0	20	35.7143
scaffold_80	39933	60.44	1	33	0.83	1.029	0.624	0.941	210.24	116.00	0.06	0	0.0000	0	0.0000	0	0	0	9	27.2727
scaffold_81	39907	58.95	1	42	1.05	0.717	0.470	1.625	280.47	131.00	0.12	0	0.0000	0	0.0000	0	0	0	11	26.1905
scaffold_82	39809	59.58	1	40	1.00	0.851	0.687	0.818	166.12	95.00	0.10	0	0.0000	1	2.5000	0	0	0	10	25.0000
scaffold_83	39746	59.47	1	52	1.31	0.677	0.478	1.889	122.36	73.50	0.08	0	0.0000	3	5.7692	0	0	0	14	26.9231
scaffold_84	39692	59.58	1	48	1.21	0.693	0.440	1.087	177.74	101.00	0.19	0	0.0000	3	6.2500	0	0	0	14	29.1667
scaffold_85	39505	59.23	1	57	1.44	0.581	0.426	1.714	123.84	78.50	0.11	0	0.0000	3	5.2632	0	0	0	15	26.3158
scaffold_86	39382	59.70	1	38	0.96	0.819	0.488	0.810	210.81	100.00	0.00	0	0.0000	1	2.6316	0	0	0	14	36.8421
scaffold_87	39201	55.65	1	48	1.22	0.631	0.378	1.182	210.00	144.00	0.06	0	0.0000	1	2.0833	0	0	0	9	18.7500
scaffold_88	38953	58.26	1	48	1.23	0.654	0.543	0.714	189.33	97.00	0.06	0	0.0000	2	4.1667	0	0	0	7	14.5833
scaffold_89	38631	61.52	1	34	0.88	0.977	0.512	0.889	178.14	163.00	0.12	0	0.0000	4	11.7647	0	0	0	15	44.1176
scaffold_90	38572	58.62	1	49	1.27	0.687	0.447	1.450	124.40	101.00	0.10	0	0.0000	1	2.0408	0	0	0	14	28.5714
scaffold_91	38250	57.96	1	51	1.33	0.594	0.408	1.040	168.75	124.50	0.04	0	0.0000	2	3.9216	0	0	0	12	23.5294
scaffold_92	38230	58.11	1	39	1.02	0.748	0.564	0.444	238.13	95.00	0.00	0	0.0000	4	10.2564	0	0	0	16	41.0256
scaffold_93	38088	58.58	1	47	1.23	0.675	0.417	1.474	184.97	117.00	0.15	0	0.0000	2	4.2553	0	0	0	12	25.5319
scaffold_94	37990	58.42	1	49	1.29	0.627	0.477	0.750	160.80	101.00	0.06	0	0.0000	2	4.0816	0	0	0	12	24.4898
scaffold_95	37592	58.86	1	46	1.22	0.655	0.455	1.000	184.27	143.00	0.09	0	0.0000	3	6.5217	0	0	0	13	28.2609
scaffold_96	37466	59.09	1	46	1.23	0.710	0.468	0.840	137.50	66.50	0.15	0	0.0000	3	6.5217	0	0	0	8	17.3913
scaffold_97	36946	58.18	1	44	1.19	0.637	0.444	1.095	216.31	135.50	0.05	0	0.0000	3	6.8182	0	0	0	18	40.9091
scaffold_98	36906	57.58	1	39	1.06	0.800	0.540	0.950	161.60	108.00	0.08	0	0.0000	1	2.5641	0	0	0	9	23.0769
scaffold_99	36859	59.10	1	42	1.14	0.709	0.537	1.211	212.53	115.00	0.17	0	0.0000	2	4.7619	0	0	0	18	42.8571
scaffold_100	36845	57.83	1	41	1.11	0.620	0.462	0.864	288.59	173.00	0.07	0	0.0000	3	7.3171	0	0	0	18	43.9024
scaffold_101	36526	59.88	1	46	1.26	0.659	0.468	1.706	151.95	106.00	0.09	0	0.0000	1	2.1739	0	0	0	7	15.2174
scaffold_102	36351	58.71	1	50	1.38	0.518	0.384	0.613	223.23	153.00	0.04	0	0.0000	2	4.0000	0	0	0	10	20.0000
scaffold_103	36343	60.14	1	42	1.16	0.724	0.501	1.625	174.28	122.50	0.07	0	0.0000	2	4.7619	0	0	0	17	40.4762
